于华榕	76.5	82.0	158.5
于庶彤	61	66.5	127.5
于雅蒙	75.5	88.3	163.8
于志方	62	71.0	133.0
于徐明	95.5	90.9	186.4
于徐铭	90	84.3	174.3
于朋博	95	65.7	160.7
于爱芸	20	86.7	106.7
于晨雨	96	66.5	162.5
于弈博	75	89.5	164.5
于博楠	77	86.9	163.9
于博榄	78.5	82.9	161.4
于家玉	62	91.0	153.0
于晨羽	63.5	70.4	133.9
于晶晶	22	87.3	109.3
于晨誉	60	87.1	147.1
于时然	88	88.8	176.8
于将涵	60	75.8	135.8
于家勇	21	74.3	95.3
于安琪	23	66.6	89.6
于青松	73	87.9	160.9
于晨有	63.5	70.4	133.9
于建举	62	79.5	141.5
于博朋	93	74.6	167.6
于术利	20.5	83.2	103.7
于岚新	62	86.9	148.9
于博轼	97	86.9	183.9
于彧	20	97.1	117.1
于碧菀	76.5	82.0	158.5
于柳涵	75	89.5	164.5
于云梦	78	87.7	165.7
于家莹	62	83.1	145.1
于鹤然	95	86.6	181.6
于进博	64.5	76.7	141.2
于云民	95.5	80.5	176.0
于猪头	22	79.4	101.4
于椿博	77	87.4	164.4
于云铭	98	87.7	185.7
于博槟	76	84.9	160.9
于达明	64	71.2	135.2
于红星	95.5	82.0	177.5
于钧悦	88	86.3	174.3
于祖成	91.5	78.4	169.9
于泽剀	98	80.8	178.8
于新楠	73	87.2	160.2
于艳华	61.5	79.8	141.3
于栋梁	20	86.3	106.3
于燕子	63	65.2	128.2
于一麟	22	77.1	99.1
于珍竹	23	79.6	102.6
于千寻	62	92.7	154.7
于俊涵	60	89.5	149.5
于郎然	62	87.4	149.4
于雪如	98.5	70.4	168.9
于云朵	75.5	91.3	166.8
于红旭	77	87.6	164.6
于庆翔	24.5	76.7	101.2
于思耀	61	83.9	144.9
于荷莞	63	87.2	150.2
于树新	73	80.2	153.2
于静芸	75	73.5	148.5
于惊摄	22	88.4	110.4
于俊豪	60	79.1	139.1
于皆涵	75	89.5	164.5
于俊贺	60	89.5	149.5
于英杰	60	75.8	135.8
于俊红	60.5	82.0	142.5
于俊宏	63	78.2	141.2
于挎涵	75	88.8	163.8
于世玲	63	87.8	150.8
于今溪	76.5	86.4	162.9
于艳梅	23	78.0	101.0
于博镈	96	84.9	180.9
于钧钥	91.5	82.9	174.4
于永萱	77	80.5	157.5
于偲阳	60.5	80.4	140.9
于帝	21	70.3	91.3
于静	93.5	68.6	162.1
于哲瀚	61	83.7	144.7
于若翰	78.5	71.0	149.5
于狄	21	86.4	107.4
于荣国	63	78.4	141.4
于迪	20	97.1	117.1
于垦涵	62.5	76.9	139.4
于荣贵	64	79.0	143.0
于登	20	97.1	117.1
于晶	20	97.1	117.1
于齿溪	62	87.8	149.8
于雪军	76	75.1	151.1
于蕊蕊	63	90.3	153.3
于慧美	95	79.4	174.4
于彦双	73.5	71.8	145.3
于正能	64.5	75.2	139.7
于琬	20	91.8	111.8
于一彬	20	84.2	104.2
于军	61	70.3	131.3
于君	65.5	69.3	134.8
于峻	88	97.1	185.1
于博浚	92	86.3	178.3
于涵悦	95	86.3	181.3
于鹃	61	84.3	145.3
于娟	60	97.1	157.1
于眷	60	74.2	134.2
于泽开	78	80.8	158.8
于桎哲	21	83.6	104.6
于涵韵	60	87.7	147.7
于泽楷	78	73.8	151.8
于泽凯	78	80.8	158.8
于涵泽	93	89.8	182.8
于新洋	95	86.7	181.7
于涵欢	94	91.8	185.8
于冉冰	61	77.0	138.0
于蛋	20	74.2	94.2
于成臣	90	79.9	169.9
于新彦	70	86.7	156.7
于玖	61	86.4	147.4
于若豪	77	75.2	152.2
于葛然	74.5	76.7	151.2
于来然	61	83.8	144.8
于莘然	72	87.4	159.4
于宁宁	21.5	82.0	103.5
于瑭呈	21	81.7	102.7
于杨帆	76	74.6	150.6
于鲤鲜	62	88.8	150.8
于剑平	97	81.1	178.1
于卫然	64.5	76.7	141.2
于志粱	63	73.7	136.7
于志梁	22.5	79.4	101.9
于宏烨	62	80.7	142.7
于志良	24	71.2	95.2
于曙冉	20	84.9	104.9
于然天	63	84.0	147.0
于国峰	75	88.7	163.7
于安安	22	77.3	99.3
于士杰	72	92.7	164.7
于眉涵	92	89.5	181.5
于东生	70	96.2	166.2
于嘉霸	78	81.4	159.4
于志辽	25	72.9	97.9
于之裕	64.5	75.1	139.6
于婉琳	22	75.9	97.9
于斐芬	75	87.2	162.2
于韬麟	20	84.2	104.2
于婉玲	20	88.7	108.7
于香伊	62	87.6	149.6
于志凌	25.5	69.1	94.6
于国方	77	83.2	160.2
于亚秋	63.5	77.5	141.0
于良博	63	65.7	128.7
于堂华	62	75.2	137.2
于圳	25.5	73.1	98.6
于宙萎	70	88.1	158.1
于鸿博	95	80.8	175.8
于锦飒	98	74.3	172.3
于宗涵	96	83.8	179.8
于炬然	95	89.5	184.5
于术博	75	75.8	150.8
于文杰	79	76.8	155.8
于玺康	21	75.5	96.5
于玉英	64	75.9	139.9
于绰然	64	79.0	143.0
于智屦	21	89.8	110.8
于澌	100.5	68.6	169.1
于沪然	99.5	76.7	176.2
于望彬	75	80.4	155.4
于潋	95	90.7	185.7
于星懿	60	82.8	142.8
于子垭	62	83.7	145.7
于婕博	75	75.8	150.8
于浩宇	63.5	70.4	133.9
于浩雨	93	66.5	159.5
于滢	96	66.8	162.8
于鑫陇	61.5	76.1	137.6
于浩羽	63.5	70.4	133.9
于享博	93	83.8	176.8
于雪冬	63	71.6	134.6
于博淘	94	87.3	181.3
于博桃	75	87.2	162.2
于嘉瑞	71.5	82.0	153.5
于英丽	21	75.2	96.2
于梓真	70	88.7	158.7
于博腾	60	93.9	153.9
于博特	60	87.2	147.2
于梓政	21	66.5	87.5
于博堂	60	86.3	146.3
于博滔	95	87.7	182.7
于博涛	93	84.9	177.9
于诗阳	61	85.4	146.4
于载渔	95.5	88.5	184.0
于春平	97	79.0	176.0
于诗雅	72	87.4	159.4
于博铁	95	89.5	184.5
于梓哲	20	88.7	108.7
于博天	63	84.0	147.0
于向然	97.5	81.3	178.8
于艺莹	63	85.7	148.7
于骏臣	90	69.0	159.0
于涵意	62	86.9	148.9
于嘉然	74	79.0	153.0
于拴涵	95	88.8	183.8
于垚博	60	89.5	149.5
于艺颖	63.5	80.5	144.0
于檬博	76	83.5	159.5
于博潭	92.5	88.3	180.8
于厚政	63.5	71.1	134.6
于博坛	60.5	88.3	148.8
于璇玥	20.5	77.6	98.1
于欣舒	71	83.8	154.8
于博坦	61	84.9	145.9
于涩淇	94.5	76.9	171.4
于彬欢	75	79.1	154.1
于明俊	63.5	77.5	141.0
于博泰	60	94.4	154.4
于媛淋	62	87.3	149.3
于然龙	60.5	88.3	148.8
于博崇	95	86.3	181.3
于祎璇	21	80.2	101.2
于正冉	62	80.9	142.9
于正然	92.5	75.2	167.7
于金宜	73	84.3	157.3
于博澄	92.5	88.3	180.8
于博诚	98	87.7	185.7
于儒博	97.5	76.9	174.4
于博乘	95	87.2	182.2
于禧萤	77	72.2	149.2
于博城	60	87.2	147.2
于建青	73.5	71.1	144.6
于博驰	62	86.9	148.9
于博池	93	74.6	167.6
于然亮	60	94.4	154.4
于博承	96	84.9	180.9
于然良	61	74.6	135.6
于博朝	97	87.3	184.3
于博超	97	87.3	184.3
于博敞	97	87.3	184.3
于博畅	63	87.7	150.7
于鉴清	97	90.3	187.3
于紫璇	61	75.2	136.2
于雅玲	20	87.2	107.2
于博常	95	86.3	181.3
于博尘	63	87.7	150.7
于杭泽	77	86.1	163.1
于博臣	95.5	91.3	186.8
于博辰	61	74.6	135.6
于炯灵	20	82.3	102.3
于然力	62	86.9	148.9
于博车	96	74.6	170.6
于然立	63.5	80.5	144.0
于峥博	60	75.8	135.8
于中博	64	76.8	140.8
于晓硕	23	74.3	97.3
于绺濠	61	86.1	147.1
于哓哓	90	81.4	171.4
于徐旺	60.5	90.9	151.4
于给涵	77	87.3	164.3
于误涵	64	79.0	143.0
于诚博	99	79.0	178.0
于连博	64	79.0	143.0
于博津	92	87.2	179.2
于冠琪	60	81.1	141.1
于奕阳	23	82.0	105.0
于麻鼠	97	75.9	172.9
于罡庆	73	75.4	148.4
于奕璇	20.5	79.1	99.6
于舒心	91	84.0	175.0
于舒欣	71	84.9	155.9
于川渺	98	80.8	178.8
于嵘博	63	80.8	143.8
于政盛	61	83.8	144.8
于志刚	65.5	69.1	134.6
于纯金	88.5	90.9	179.4
于林博	76	83.8	159.8
于欣博	76	83.8	159.8
于佳溪	75	88.1	163.1
于德忠	21	78.8	99.8
于如夏	65	71.3	136.3
于元琳	64.5	75.1	139.6
于元林	61	84.0	145.0
于桐溪	77	84.3	161.3
于待涵	60	89.5	149.5
于祺帆	76	74.6	150.6
于政树	22	85.9	107.9
于佑政	24	80.6	104.6
于柯博	75	89.5	164.5
于宪华	95	74.3	169.3
于敏彧	60	88.7	148.7
于姻涵	60	89.5	149.5
于贞茜	20	89.5	109.5
于小胜	90	92.7	182.7
于云催	97	86.9	183.9
于钞涵	97	87.3	184.3
于番薯	75	93.9	168.9
于涵霜	93	89.8	182.8
于英俊	21	75.1	96.1
于幼琳	21.5	85.5	107.0
于星晨	89	76.9	165.9
于正玉	72	80.9	152.9
于博嘏	95	87.7	182.7
于奇栋	61	83.8	144.8
于庆旺	21	78.8	99.8
于毅华	77	87.8	164.8
于钟羲	91.5	80.7	172.2
于思惠	95	89.5	184.5
于蔓雪	77.5	76.5	154.0
于微微	95	87.2	182.2
于新宏	96	85.2	181.2
于珂绮	62	84.3	146.3
于烽博	60	75.8	135.8
于云春	95	94.4	189.4
于鸡中	20	87.7	107.7
于锦赢	65	76.3	141.3
于美冉	62	79.0	141.0
于美然	95	89.5	184.5
于美群	75	81.1	156.1
于雨铃	95	95.4	190.4
于锡淋	97.5	76.9	174.4
于心颖	72	80.8	152.8
于睿拧	89	86.1	175.1
于锡凌	65	73.5	138.5
于庆赫	62	87.8	149.8
于继仁	72	83.9	155.9
于战锋	90	74.0	164.0
于禺宸	71	68.8	139.8
于弈然	70	89.5	159.5
于有赋	62	82.2	144.2
于心雨	96	84.0	180.0
于心宇	62	81.5	143.5
于劲棋	60	89.5	149.5
于心渝	99.5	75.1	174.6
于美瑞	95	79.1	174.1
于智杰	22	87.3	109.3
于振升	62	83.2	145.2
于山雁	22	92.7	114.7
于继冉	22	82.5	104.5
于庆涵	79.5	76.7	156.2
于继然	70	95.1	165.1
于氩萱	22	83.1	105.1
于柏玥	20.5	82.0	102.5
于心忙	96	77.4	173.4
于克然	73	65.7	138.7
于清雅	77	87.3	164.3
于继征	20.5	87.5	108.0
于继争	20.5	87.5	108.0
于锦山	63	65.2	128.2
于罡楼	73	75.4	148.4
于娅平	63	71.6	134.6
于艾溪	60	88.1	148.1
