于光果	24	72.3	96.3
于光稀	22.5	81.3	103.8
于融光	22	72.8	94.8
于光测	63	66.6	129.6
于英光	23.5	70.4	93.9
于光策	22.5	81.3	103.8
于光来	24	72.3	96.3
于光至	22	77.3	99.3
于光蓝	25	75.0	100.0
于光智	22.5	81.3	103.8
于光秀	62	81.3	143.3
于义光	21	74.6	95.6
于彬光	23.5	70.4	93.9
于光葡	22	82.2	104.2
于蓁光	22	72.8	94.8
于光苍	22	74.2	96.2
于光灿	22	70.5	92.5
于光治	64	82.0	146.0
于光莆	23	66.6	89.6
于芳光	23	79.6	102.6
于光坤	24	72.3	96.3
于光蔡	22	70.5	92.5
于光菜	23	75.7	98.7
于坤光	22	85.6	107.6
于光采	22	81.3	103.3
于伦光	23	79.6	102.6
于光才	63	76.3	139.3
于光远	22	70.5	92.5
于澧光	62	69.0	131.0
于晰光	60.5	91.3	151.8
于光州	62	77.3	139.3
于光谊	22	82.2	104.2
于光簿	64	74.0	138.0
于光乐	22	82.2	104.2
于光议	25	75.0	100.0
于光晓	22	74.2	96.2
于滨光	62	85.5	147.5
于光垒	24	72.6	96.6
于光向	62	77.3	139.3
于光泊	64	82.0	146.0
于光蕾	24	74.0	98.0
于为光	20.5	91.3	111.8
于光累	25.5	70.1	95.6
于光磊	22	82.2	104.2
于皓光	20.5	91.3	111.8
于光伯	62	81.3	143.3
于光镇	64	72.6	136.6
于凉光	23	79.6	102.6
于菩光	22	79.4	101.4
于光博	62.5	81.3	143.8
于光波	64	82.0	146.0
于稣光	62	72.8	134.8
于兴光	61	87.5	148.5
于曦光	23	82.8	105.8
于光志	22	81.3	103.3
于光湘	63	66.6	129.6
于光朗	25.5	70.1	95.6
于光栗	25	71.3	96.3
于光坚	25.5	70.1	95.6
于绮光	22	79.4	101.4
于光礼	24	72.6	96.6
于聪光	62	69.0	131.0
于光莉	23	66.6	89.6
于岩光	22	85.6	107.6
于稿光	21	87.5	108.5
于光城	25	71.3	96.3
